TIC,hostname,pl_name,sy_pnum,sy_snum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper_tess,pl_orbpererr1_tess,pl_orbpererr2_tess,pl_tranmid_tess,pl_tranmiderr1_tess,pl_tranmiderr2_tess,obrparams_tess
120105470,Kepler-1627,Kepler-1627 b,1.0,1.0,7.20283653,8.773e-05,-8.773e-05,2454968.1937599997,0.00886,-0.00886,,,,,,,0
120105569,Kepler-1499,Kepler-1499 b,1.0,1.0,44.2008,0.0006553,-0.0006553,2454996.2248,0.0104,-0.0104,,,,,,,0
120105633,Kepler-1338,Kepler-1338 b,1.0,1.0,0.93511806,2.76e-06,-2.76e-06,2454965.19931,0.0025399999999999997,-0.0025399999999999997,,,,,,,0
120106432,Kepler-943,Kepler-943 b,1.0,1.0,49.7701438,0.00011719999999999999,-0.00011719999999999999,2454992.98572,0.00201,-0.00201,,,,,,,0
120251654,Kepler-1818,Kepler-1818 b,1.0,1.0,4.64490986,,,2454969.02655,0.00491,-0.00491,,,,,,,0
120252007,Kepler-1195,Kepler-1195 b,1.0,1.0,8.49642241,2.872e-05,-2.872e-05,2454971.73517,0.00277,-0.00277,,,,,,,0
120252452,Kepler-200,Kepler-200 b,2.0,1.0,8.594805000000001,3.6e-05,-3.6e-05,2455004.6299799997,0.00234,-0.00234,,,,,,,0
120253552,Kepler-1370,Kepler-1370 c,2.0,1.0,7.44142113,5.404e-05,-5.404e-05,2454970.7455,0.00607,-0.00607,,,,,,,0
120253745,Kepler-170,Kepler-170 b,2.0,1.0,7.930592,1.4000000000000001e-05,-1.4000000000000001e-05,2455002.51582,0.00106,-0.00106,,,,,,,0
120254625,Kepler-622,Kepler-622 b,1.0,1.0,14.28226676,2.663e-05,-2.663e-05,2455013.8472599997,0.0015300000000000001,-0.0015300000000000001,,,,,,,0
120255638,Kepler-1393,Kepler-1393 b,1.0,1.0,2.44357812,1.231e-05,-1.231e-05,2454965.8054,0.00419,-0.00419,,,,,,,0
120255950,Kepler-1656,Kepler-1656 b,2.0,1.0,31.561999999999998,0.011000000000000001,-0.011000000000000001,2455011.47,0.9,-0.9,31.582081800000005,0.0027858,-0.0027858,2459399.637309,0.001995,-0.001995,0
120314731,Kepler-1719,Kepler-1719 b,1.0,1.0,6.14955998,,,2455002.55182,0.00147,-0.00147,,,,,,,0
120315006,Kepler-995,Kepler-995 b,1.0,1.0,28.26731672,8.643e-05,-8.643e-05,2454973.92495,0.00227,-0.00227,,,,,,,0
120315151,Kepler-823,Kepler-823 b,1.0,1.0,4.16809082,1.748e-05,-1.748e-05,2454967.8999099997,0.00307,-0.00307,,,,,,,0
120317234,Kepler-506,Kepler-506 b,1.0,1.0,6.883405499999999,3.15e-06,-3.15e-06,2455005.6626029997,0.000357,-0.000357,,,,,,,0
120317833,Kepler-1242,Kepler-1242 b,1.0,1.0,13.62798432,5.714e-05,-5.714e-05,2454968.45049,0.0037600000000000003,-0.0037600000000000003,,,,,,,0
120355363,Kepler-826,Kepler-826 b,1.0,1.0,4.48758907,1.653e-05,-1.653e-05,2454966.36175,0.00324,-0.00324,,,,,,,0
120418600,Kepler-974,Kepler-974 b,1.0,1.0,4.19449651,5.03e-06,-5.03e-06,2454967.13429,0.00101,-0.00101,,,,,,,0
120420344,Kepler-1093,Kepler-1093 b,2.0,1.0,25.082462600000003,0.00012109999999999999,-0.00012109999999999999,2454967.13343,0.004079999999999999,-0.004079999999999999,,,,,,,0
120420633,Kepler-638,Kepler-638 b,1.0,1.0,6.07972888,1.513e-05,-1.513e-05,2455003.58397,0.0019,-0.0019,,,,,,,0
120421638,Kepler-1366,Kepler-1366 b,1.0,1.0,2.16457097,6.83e-06,-6.83e-06,2454964.8322799997,0.0029,-0.0029,,,,,,,0
120422519,Kepler-1805,Kepler-1805 b,1.0,1.0,8.84794044,,,2454973.15155,0.00242,-0.00242,,,,,,,0
120424814,Kepler-1531,Kepler-1531 b,1.0,1.0,1.13854338,2.59e-06,-2.59e-06,2454965.46572,0.0017699999999999999,-0.0017699999999999999,,,,,,,0
120425617,Kepler-1526,Kepler-1526 b,1.0,1.0,3.908632,7.400000000000001e-06,-7.400000000000001e-06,2454966.9298799997,0.0015300000000000001,-0.0015300000000000001,,,,,,,0
120495241,Kepler-952,Kepler-952 b,1.0,1.0,130.3546919,0.0002069,-0.0002069,2454977.06014,0.00115,-0.00115,,,,,,,0
120495446,Kepler-204,Kepler-204 b,2.0,1.0,14.400974,5.6000000000000006e-05,-5.6000000000000006e-05,2455007.98593,0.00213,-0.00213,,,,,,,0
120495880,Kepler-440,Kepler-440 b,1.0,1.0,101.11140999999999,0.0008699999999999999,-0.0006799999999999999,2455756.2986,0.0028,-0.0027,,,,,,,0
120496423,Kepler-1932,Kepler-1932 b,1.0,1.0,0.52417702,,,2454964.6014,0.00115,-0.00115,,,,,,,0
120498491,Kepler-350,Kepler-350 b,3.0,1.0,11.189561999999999,0.00011899999999999999,-0.00011899999999999999,2454973.6310799997,0.0069900000000000006,-0.0069900000000000006,,,,,,,0
120499135,Kepler-442,Kepler-442 b,1.0,1.0,112.3053,0.0024,-0.0028,2455849.5578,0.0067,-0.0056,,,,,,,0
120571308,Kepler-1601,Kepler-1601 b,1.0,1.0,2.20921951,1.51e-05,-1.51e-05,2454964.90843,0.00548,-0.00548,,,,,,,0
120571842,Kepler-9,Kepler-9 d,3.0,1.0,1.592851,4.5e-05,-4.5e-05,2455015.0943,0.0018,-0.0033,,,,,,,0
120572779,Kepler-555,Kepler-555 b,1.0,1.0,16.21775407,2.8899999999999998e-05,-2.8899999999999998e-05,2455013.04196,0.00145,-0.00145,,,,,,,0
120573482,Kepler-821,Kepler-821 b,1.0,1.0,1.92279873,4.82e-06,-4.82e-06,2454967.50338,0.0020800000000000003,-0.0020800000000000003,,,,,,,0
120576846,Kepler-907,Kepler-907 b,1.0,1.0,15.86621821,6.487e-05,-6.487e-05,2454974.08805,0.00316,-0.00316,,,,,,,0
120577770,Kepler-1288,Kepler-1288 b,1.0,1.0,2.76122421,1.477e-05,-1.477e-05,2454964.61013,0.0041600000000000005,-0.0041600000000000005,,,,,,,0
120578185,Kepler-354,Kepler-354 b,3.0,1.0,5.47666,2.4e-05,-2.4e-05,2454968.7020400004,0.0024100000000000002,-0.0024100000000000002,,,,,,,0
120578688,Kepler-1939,Kepler-1939 b,1.0,1.0,2.7906598999999996,,,2454966.15339,0.0010199999999999999,-0.0010199999999999999,,,,,,,0
120578712,Kepler-1439,Kepler-1439 b,1.0,1.0,8.07392849,4.784e-05,-4.784e-05,2455373.04158,0.00421,-0.00421,,,,,,,0
120578889,Kepler-1211,Kepler-1211 b,1.0,1.0,11.01816836,7.975e-05,-7.975e-05,2454972.88044,0.006840000000000001,-0.006840000000000001,,,,,,,0
120610833,WASP-45,WASP-45 b,1.0,2.0,3.126089,3e-06,-3e-06,2458339.1430389998,0.000312,-0.00031,3.1260778,2.3e-06,-2.3e-06,2458354.773243,0.000279,-0.000279,0
120627712,Kepler-1373,Kepler-1373 b,1.0,1.0,1.29123275,6.46e-06,-6.46e-06,2454964.9893799997,0.0042,-0.0042,,,,,,,0
120629799,Kepler-98,Kepler-98 b,1.0,1.0,1.54168,,,2455003.54328,,,,,,,,,0
120638033,Kepler-149,Kepler-149 b,3.0,1.0,29.198943,4.1e-05,-4.1e-05,2455018.44022,0.0007599999999999999,-0.0007599999999999999,,,,,,,0
120686458,Kepler-1369,Kepler-1369 b,1.0,1.0,25.873148,0.0001453,-0.0001453,2454976.2793799997,0.00562,-0.00562,,,,,,,0
120686620,Kepler-599,Kepler-599 b,1.0,1.0,15.65562652,3.161e-05,-3.161e-05,2455003.78357,0.0015300000000000001,-0.0015300000000000001,,,,,,,0
120688631,Kepler-1580,Kepler-1580 b,1.0,1.0,56.6449279,0.0008525000000000001,-0.0008525000000000001,2454971.7829,0.0116,-0.0116,,,,,,,0
120689253,Kepler-169,Kepler-169 b,5.0,1.0,3.250619,1.3000000000000001e-05,-1.3000000000000001e-05,2454966.69209,0.00232,-0.00232,,,,,,,0
120691237,Kepler-1060,Kepler-1060 b,1.0,1.0,46.8779367,0.000305,-0.000305,2454970.66335,0.00601,-0.00601,,,,,,,0
120692092,Kepler-495,Kepler-495 b,2.0,1.0,3.41303622,6e-07,-6e-07,2454965.443088,0.000146,-0.000146,,,,,,,0
120692095,Kepler-1549,Kepler-1549 b,1.0,1.0,214.886545,0.003111,-0.003111,2455046.387,0.0119,-0.0119,,,,,,,0
120693011,Kepler-1308,Kepler-1308 b,1.0,1.0,2.10433812,4.24e-06,-4.24e-06,2454966.31479,0.00168,-0.00168,,,,,,,0
120757718,TrES-1,TrES-1 b,1.0,2.0,3.0300700000000003,8e-06,-8e-06,2453186.806341,5.1e-05,-5.1e-05,3.0300678,7e-07,-7e-07,2459422.690639,0.00024300000000000002,-0.00024300000000000002,0
120762000,Kepler-1299,Kepler-1299 b,1.0,1.0,19.9400874,0.0001457,-0.0001457,2454975.34994,0.00603,-0.00603,,,,,,,0
120762990,Kepler-1034,Kepler-1034 b,1.0,1.0,12.12400943,3.32e-05,-3.32e-05,2454967.9555599997,0.00235,-0.00235,,,,,,,0
120763491,Kepler-1773,Kepler-1773 b,1.0,1.0,40.80970001,,,2454975.6916799997,0.00193,-0.00193,,,,,,,0
