Kepler,Kepler-44,TIC 239277658,06,short
Kepler,Kepler-44,TIC 239277658,07,short
Kepler,Kepler-1802,TIC 239291510,12,short
Kepler,Kepler-1802,TIC 239291510,16,short
Kepler,Kepler-1802,TIC 239291510,15,short
Kepler,Kepler-1802,TIC 239291510,17,short
Kepler,Kepler-1802,TIC 239291510,14,short
Kepler,Kepler-1802,TIC 239291510,13,short
Kepler,Kepler-79,TIC 239306681,03,short
Kepler,Kepler-79,TIC 239306681,04,short
Kepler,Kepler-79,TIC 239306681,05,short
Kepler,Kepler-79,TIC 239306681,06,short
Kepler,Kepler-79,TIC 239306681,07,short
Kepler,Kepler-79,TIC 239306681,08,short
Kepler,Kepler-79,TIC 239306681,09,short
Kepler,Kepler-217,TIC 240178935,08,short
Kepler,Kepler-883,TIC 243271051,09,short
Kepler,Kepler-296,TIC 243271945,09,short
Kepler,Kepler-531,TIC 243272677,06,short
Kepler,Kepler-531,TIC 243272677,07,short
Kepler,Kepler-202,TIC 258202719,07,short
Kepler,Kepler-202,TIC 258202719,08,short
Kepler,Kepler-808,TIC 26417717,09,short
Kepler,Kepler-532,TIC 264507945,06,short
Kepler,Kepler-424,TIC 264508014,04,short
Kepler,Kepler-424,TIC 264508014,09,short
Kepler,Kepler-424,TIC 264508014,08,short
Kepler,Kepler-424,TIC 264508014,06,short
Kepler,Kepler-424,TIC 264508014,05,short
Kepler,Kepler-553,TIC 264508613,09,short
Kepler,Kepler-889,TIC 26474039,09,short
Kepler,Kepler-481,TIC 26541093,03,short
Kepler,Kepler-481,TIC 26541093,04,short
Kepler,Kepler-481,TIC 26541093,05,short
Kepler,Kepler-481,TIC 26541093,06,short
Kepler,Kepler-481,TIC 26541093,07,short
Kepler,Kepler-884,TIC 26657091,09,short
Kepler,Kepler-110,TIC 26751563,03,short
Kepler,Kepler-110,TIC 26751563,09,short
Kepler,Kepler-110,TIC 26751563,08,short
Kepler,Kepler-110,TIC 26751563,07,short
Kepler,Kepler-110,TIC 26751563,06,short
Kepler,Kepler-110,TIC 26751563,05,short
Kepler,Kepler-110,TIC 26751563,04,short
Kepler,KOI-351,TIC 267667295,09,short
Kepler,Kepler-537,TIC 267673013,08,short
Kepler,Kepler-179,TIC 268057162,08,short
Kepler,Kepler-166,TIC 26814955,07,short
Kepler,Kepler-166,TIC 26814955,09,short
Kepler,Kepler-166,TIC 26814955,08,short
Kepler,Kepler-186,TIC 268159861,07,short
Kepler,Kepler-186,TIC 268159861,09,short
Kepler,Kepler-186,TIC 268159861,08,short
Kepler,Kepler-432,TIC 26817004,09,short
Kepler,Kepler-521,TIC 268302011,06,short
Kepler,Kepler-521,TIC 268302011,09,short
Kepler,Kepler-521,TIC 268302011,08,short
Kepler,Kepler-521,TIC 268302011,07,short
Kepler,Kepler-463,TIC 268481319,03,short
Kepler,Kepler-463,TIC 268481319,09,short
Kepler,Kepler-463,TIC 268481319,08,short
Kepler,Kepler-463,TIC 268481319,04,short
Kepler,Kepler-463,TIC 268481319,05,short
Kepler,Kepler-463,TIC 268481319,06,short
Kepler,Kepler-463,TIC 268481319,07,short
