istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
32661,32665,3639060,3639064,2069.8301446134205,2069.83107054901,6.0670998535481395,0.0890261456542791,0.17541923041179786,0.0009259355892936583,81404.0,WASP-100,28,TESS,04_02_2021_12_01_31,49.321729000000005,0
,,,,,,,,,,13737,WASP-100,28,TESS,04_02_2021_12_01_34,2.036503000000039,1
,,,,,,,,,,89880,WASP-100,29,TESS,04_02_2021_12_02_29,34.85895300000004,0
,,,,,,,,,,14271,WASP-100,29,TESS,04_02_2021_12_02_32,2.4795930000000226,1
,,,,,,,,,,95093,WASP-100,30,TESS,04_02_2021_12_03_40,54.54952500000002,0
,,,,,,,,,,15869,WASP-100,30,TESS,04_02_2021_12_03_43,2.4312640000000556,1
,,,,,,,,,,15922,WASP-100,31,TESS,04_02_2021_12_04_25,2.744331999999986,1
,,,,,,,,,,17591,HAT-P-2,24,TESS,04_02_2021_12_04_47,3.980583000000024,0
,,,,,,,,,,16706,HAT-P-2,25,TESS,04_02_2021_12_05_12,4.419436000000019,0
,,,,,,,,,,13973,CoRoT-19,6,TESS,04_02_2021_12_05_32,2.2811040000000276,0
,,,,,,,,,,16928,WASP-35,5,TESS,04_02_2021_12_05_54,2.667863000000011,0
,,,,,,,,,,95912,HATS-61,31,TESS,04_02_2021_12_06_51,45.93987800000002,0
,,,,,,,,,,15964,HATS-61,31,TESS,04_02_2021_12_06_55,2.5336640000000443,1
,,,,,,,,,,13518,WASP-16,11,TESS,04_02_2021_12_07_13,1.9331020000000763,0
,,,,,,,,,,14421,WASP-101,6,TESS,04_02_2021_12_07_32,2.235449000000017,0
,,,,,,,,,,16849,XO-4,20,TESS,04_02_2021_12_07_54,2.9531410000000733,0
,,,,,,,,,,17193,TOI-125,1,TESS,04_02_2021_12_08_16,2.313871000000063,0
,,,,,,,,,,17502,TOI-125,2,TESS,04_02_2021_12_08_38,2.8630679999999984,0
