"istart","istop","cstart","cstop","tstart","tstop","ed_rec","ed_rec_err","ampl_rec","dur","phase","total_n_valid_data_points","ID","TIC","qcs","mission","tstamp","lc_n","w","mask_pos_outliers_sigma","real","note"
26065,26085,1871280,1871300,1391.34985500661,1391.36347683199,5.62669472578256,0.128714241499364,0.010831800605521,0.013621825375594,0.397418263558034,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
28283,28286,1873542,1873545,1392.8904834358,1392.89252674884,0.584543449650501,0.057026836486832,0.004273810882622,0.002043313041213,0.611310168889027,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
29187,29190,1874476,1874479,1393.52662252256,1393.52866583537,0.378077897102137,0.063073065305572,0.002393477114338,0.002043312808382,0.699628025903234,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
31647,31651,1876936,1876940,1395.20210598662,1395.20483026939,0.452156058035382,0.053877220801802,0.002740144635395,0.002724282770942,0.932242421230478,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
32134,32148,1877437,1877451,1395.54333238488,1395.55286767382,5.44467199778604,0.118389176259609,0.011981238037974,0.009535288940242,0.979616313006644,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
32743,32757,1878046,1878060,1395.95811668288,1395.96765187089,1.85813994193138,0.135166292824178,0.003363248491738,0.009535188008158,0.037202556464248,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
32762,32848,1878065,1878151,1395.97105732374,1396.02963119287,10.9785774639707,0.225649533535635,0.003358835422795,0.058573869129759,0.038999159900367,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
32852,32875,1878155,1878208,1396.03235557517,1396.06845331509,5.40386389702301,0.17813785413598,0.007413127691988,0.03609773991775,0.047509453196694,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
32882,32894,1878215,1878227,1396.07322090903,1396.08139405572,1.21538450975808,0.093394084275921,0.00278309024332,0.008173146685294,0.053182958862105,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
32901,32910,1878234,1878243,1396.08616174966,1396.0922915847,0.971873382088646,0.085724865618789,0.002388211241557,0.006129835033789,0.054979590032949,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
32914,32917,1878247,1878250,1396.09501586689,1396.09705917865,0.305961689590896,0.051570649876441,0.001888114871071,0.002043311760644,0.056208844256028,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
35320,35325,1880713,1880718,1397.77458530312,1397.7779908548,0.617417613446396,0.080358497504713,0.002682344780226,0.003405551680771,0.289390512233882,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
35329,35340,1880722,1880733,1397.78071513629,1397.7882071101,1.63349899316337,0.112440672977356,0.003411470455617,0.007491973803553,0.290241542678015,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
36426,36729,1881833,1882136,1398.53740654687,1398.74377693341,61.2175190436059,0.048681919498168,0.005773422631182,0.206370386542403,0.395296184335603,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
36735,36742,1882142,1882149,1398.74786355495,1398.75263124656,0.981894618324831,0.088755239683904,0.003422872122324,0.004767691614688,0.424514813302232,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
41851,41860,1887272,1887281,1402.24185630931,1402.24798613853,1.15140020474567,0.096201773219546,0.002947069969508,0.006129829220299,0.909600479179489,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
43898,43906,1889319,1889327,1403.63604761886,1403.64149637729,1.20468354296448,0.106471121897172,0.00368798061758,0.005448758434795,0.103161905117855,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
44128,44132,1889549,1889553,1403.79269827491,1403.79542255407,0.447335802426882,0.068260991806269,0.002000315305277,0.002724279162067,0.124910372600528,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
44159,44256,1889580,1889677,1403.81381203882,1403.87987770946,15.2393839185847,0.094749353275514,0.004588301099322,0.066065670638636,0.127841684982444,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
44260,44263,1889681,1889684,1403.88260218862,1403.88464529805,0.35891865508538,0.049871571249796,0.002237954014568,0.002043109430815,0.137392109945681,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
44268,44277,1889689,1889698,1403.88805084705,1403.89418067523,0.949693766422478,0.084964714582523,0.003252758843226,0.006129828172561,0.138148570044607,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
44748,44760,1890183,1890195,1404.22450932192,1404.23268225916,2.6209099346738,0.099740499248183,0.006518171051131,0.008172937246854,0.184860511022576,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
6222,6229,1898016,1898023,1409.55948575037,1409.56425333739,1.29236289613231,0.081580135627205,0.004976450331579,0.004767587015522,0.925537660398003,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
8082,8102,1899920,1899940,1410.85628061739,1410.86990240883,5.06347272301874,0.137611858598231,0.006805714210416,0.013621791440528,0.105577129795672,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
9935,9955,1901773,1901793,1412.11833983297,1412.13196172447,2.69625543926789,0.146337617567189,0.003413298524497,0.013621891492221,0.280794103042729,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
12340,12356,1912554,1912570,1419.46115512024,1419.47205263863,3.49230091193098,0.119870413187935,0.005923387139402,0.010897518390266,0.300227940904061,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
13288,13319,1913502,1913533,1420.10682860841,1420.12794227691,41.5551450884073,0.197079449794642,0.04582081247989,0.021113668502949,0.389869498849036,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
18600,18620,1918828,1918848,1423.73431548409,1423.74793719043,16.8763748490391,0.137797750813121,0.033357096450459,0.013621706340928,0.893488713385568,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
23810,23818,1924052,1924060,1427.29233320741,1427.29778197376,2.52892017948011,0.101229578112463,0.007626601140377,0.005448766343761,0.387463234188387,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
24890,24918,1925132,1925160,1428.0279116235,1428.04698210888,5.12635793182036,0.136506710973742,0.005181329152798,0.019070485388511,0.489586670284572,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
26165,26187,1926421,1926443,1428.90583801056,1428.9208220736,5.23405058417188,0.177187083095378,0.007229266013409,0.014984063040174,0.611472872116802,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
32455,32458,1932725,1932728,1433.19943949694,1433.20148271245,0.503179601707844,0.052245962243925,0.004671680959776,0.002043215507001,0.207571571359123,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
34608,34615,1934893,1934900,1434.67604727669,1434.68081488175,1.29954108645305,0.093745698569155,0.00380064656012,0.004767605059897,0.412575221462327,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
35308,35324,1935593,1935609,1435.15281191787,1435.16370937392,5.12032604872948,0.151150391424244,0.008798152031326,0.010897456049861,0.478766455872906,35655,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
2781,2786,1939966,1939971,1438.13123068646,1438.13463605121,0.7831935805609,0.078653334237612,0.003799562314833,0.003405364754144,0.892272823285535,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
6565,6568,1943750,1943753,1440.70848828179,1440.71053150262,0.357277535118892,0.044932642346888,0.002361878365562,0.002043220833002,0.250084302776462,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
7138,7147,1944337,1944346,1441.10829032794,1441.1144201915,1.42777094492196,0.100169909581369,0.003544624056982,0.006129863562819,0.305590497382729,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
7151,7167,1944350,1944366,1441.11714458644,1441.12804206612,2.11996336771191,0.137095719255938,0.003275241770884,0.010897479682171,0.306819771219924,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,0,
8554,8563,1945753,1945762,1442.07271951457,1442.07884938051,1.42651467883926,0.120800187606513,0.003246769186821,0.006129865942057,0.439486245621786,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
9254,9271,1946453,1946470,1442.5494854582,1442.56106411838,3.42014073300191,0.142085956840283,0.005326892053548,0.01157866018184,0.505677660857601,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
9411,9416,1946610,1946615,1442.65641729897,1442.65982276981,0.670193493167998,0.065099657924895,0.003233160027596,0.003405470837606,0.520523456721871,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
10680,10705,1947879,1947904,1443.52072606694,1443.53775342729,4.33445071845207,0.153195815968493,0.005963997691575,0.017027360350767,0.640519067391915,51069,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
