istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
7958,7961,78676,78680,1336.73329876275,1336.73885425462,0.204227623027775,0.033011248505549,0.000482443944627,0.005555491873793,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,marginal detection,1
8117,8134,78836,78853,1336.95551841021,1336.9791292452,5.18508937140323,0.057127198872179,0.007297470140312,0.023610834991132,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
8164,8194,78883,78913,1337.02079542377,1337.06246160095,8.72882092034297,0.004754805218442,0.007075177965605,0.041666177176012,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
8487,8494,79211,79218,1337.47634554459,1337.48606764873,1.03572634919757,0.049359313071528,0.001883924141207,0.009722104142838,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
8592,8596,79318,79322,1337.62495484079,1337.63051032801,0.339965713655625,0.032661221177195,0.001339593944322,0.00555548721718,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
8674,8678,79401,79405,1337.74023119414,1337.74578668089,0.355771025556854,0.035314321733306,0.001151951912442,0.005555486751746,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
9003,9015,79748,79760,1338.22216947935,1338.23883592517,1.7872550875736,0.060337036153271,0.003063206883956,0.016666445817919,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
9217,9222,79962,79967,1338.51938764615,1338.52633199248,0.853576128501616,0.049377605687319,0.002334909644154,0.006944346331238,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,cut off,1
9304,9316,80869,80881,1339.77908677752,1339.79575306327,0.8270181566102,0.067433536524764,0.000843301730426,0.016666285750262,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual like a spot,0
9345,9357,80910,80922,1339.83602991573,1339.85269619728,1.8741500481601,0.062371252140013,0.002494839152859,0.016666281558401,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
9840,9847,81405,81412,1340.52351336997,1340.53323535148,1.0716628905392,0.041957438737934,0.001829282088683,0.009721981510666,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
9903,9907,81469,81473,1340.61240005221,1340.61795546962,0.342895959726407,0.030011118383308,0.001356907250467,0.005555417408232,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
10451,10454,82020,82023,1341.37765847006,1341.3818250295,0.20430589075186,0.029369175860624,0.000720639740769,0.004166559447185,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual like a spot,0
