Sec.,$t_s$ [BTJD],$t_f$ [BTJD],orb. phase,$ED$ [s],$\sigma_{ED}$ [s],$a$
27,2056.297,2056.3181,0.772,1.303,0.0437,0.002
27,2047.8409,2047.8416,0.773,0.1218,0.01,0.003
1,1336.9555,1336.9791,0.776,5.1851,0.0571,0.007
1,1328.5042,1328.5375,0.777,14.729,0.035,0.026
27,2056.366,2056.3667,0.78,0.0796,0.01,0.002
27,2039.4398,2039.4449,0.78,0.6168,0.0269,0.004
1,1337.0208,1337.0625,0.783,8.7288,0.0048,0.007
1,1328.5736,1328.5778,0.785,0.3025,0.0301,0.001
1,1345.5081,1345.6206,0.786,12.8709,0.0349,0.007
27,2048.0525,2048.0541,0.798,0.1456,0.0162,0.002
27,2056.5195,2056.5202,0.798,0.078,0.0107,0.002
27,2039.5933,2039.5958,0.798,0.2428,0.02,0.002
27,2039.5977,2039.6018,0.799,0.5439,0.0214,0.005
1,1328.7361,1328.7473,0.804,1.8122,0.0229,0.006
1,1328.7861,1328.7959,0.81,0.5212,0.0397,0.001
27,2056.6873,2056.6919,0.818,0.5967,0.0257,0.003
27,2056.7116,2056.7209,0.821,0.3293,0.0168,0.004
1,1345.8317,1345.8428,0.824,0.6837,0.0525,0.001
27,2039.8206,2039.8505,0.825,2.144,0.0413,0.006
27,2056.8285,2056.8982,0.835,11.8243,0.0571,0.016
1,1337.4763,1337.4861,0.837,1.0357,0.0494,0.002
27,2056.909,2057.0921,0.844,99.1105,0.1004,0.03
1,1346.0359,1346.047,0.848,1.2293,0.0433,0.002
1,1337.625,1337.6305,0.855,0.34,0.0327,0.001
1,1346.1886,1346.2275,0.867,6.7884,0.0535,0.005
1,1337.7402,1337.7458,0.868,0.3558,0.0353,0.001
27,2057.1322,2057.1489,0.871,1.4391,0.044,0.003
1,1329.3222,1329.332,0.874,1.1247,0.0511,0.002
1,1346.2789,1346.2859,0.877,0.5409,0.0388,0.001
27,2057.2012,2057.2273,0.879,1.6754,0.0426,0.003
1,1329.3792,1329.4,0.88,4.8809,0.0676,0.008
1,1329.432,1329.4403,0.887,0.783,0.0441,0.002
27,2057.3287,2057.331,0.894,0.253,0.0176,0.003
1,1346.4678,1346.4747,0.9,0.3584,0.0378,0.001
27,2040.4697,2040.4708,0.902,0.0904,0.0146,0.001
1,1346.5192,1346.5372,0.906,7.186,0.0478,0.013
1,1346.5595,1346.5692,0.91,1.1305,0.043,0.002
1,1338.2222,1338.2388,0.925,1.7873,0.0603,0.003
27,2040.6801,2040.6808,0.927,0.074,0.0102,0.002
27,2040.7896,2040.7945,0.94,0.5905,0.0266,0.003
27,2057.7982,2057.8621,0.949,14.5465,0.0473,0.028
1,1330.1222,1330.1375,0.968,2.1059,0.0581,0.003
27,2058.0725,2058.0875,0.982,0.6603,0.032,0.002
27,2041.2065,2041.21,0.989,0.3974,0.0234,0.002
1,1347.2692,1347.2803,0.994,0.9361,0.0699,0.001
27,2049.7375,2049.743,0.997,1.5388,0.0253,0.007
27,2049.7539,2049.7555,0.999,0.2041,0.015,0.002
