ID,discoverymethod,binary,SpT1,SpT2,flaring_component,ref1,ref1_note,nplanets,nplanets_ref,innermost_planet,pl_orbper,pl_orbpererr1,t_orbpererr2,t_periastron,t_periastron_err_up,t_periastron_err_low,t_periastron_unit,t_periastron_unit_offset,periastron_longitude_deg,periastron_longitude_deg_err_up,periastron_longitude_deg_err_low,planet_eccen,planet_eccen_err_up,planet_eccen_err_low,ref_eccen,eccen_note,note,RV_data_link
HAT-P-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 272086159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 233120979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 161032923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 67522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 206609630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Cae,Eclipse Timing Variations,1,K7,WD,1,krushinsky2020,K7 star with clear signs of chromospheric and spot activity,,,,,,,,,,,,,,,,,,,,,
TIC 52280468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 Eri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 77951245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHS J125601.92-125723.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 310231275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 233211762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
