flare_phase,null_hypothesis_cum_dist,observed_cum_dist
0.144401527476104,0.143107491340474,0.1476510067114094
0.145858102067083,0.14456003822343363,0.14899328859060404
0.14624296934097,0.1449447127778138,0.15033557046979865
0.14697809745961302,0.14569183076398373,0.15167785234899328
0.147751360866984,0.14647567401957967,0.15302013422818792
0.14818002309922002,0.14691480053947722,0.15436241610738255
0.14881198406216,0.14755903780470028,0.15570469798657718
0.152668127930999,0.1514484717319783,0.15704697986577182
0.153766036942877,0.15255935193314468,0.15838926174496645
0.154,0.15279853126269216,0.1597315436241611
0.156,0.15482728991822164,0.1610738255033557
0.15655209649049698,0.15539084244360235,0.16241610738255033
0.157509458459932,0.15635630001357292,0.16375838926174496
0.157669942537308,0.15652182608874984,0.1651006711409396
0.15917622466748302,0.15803824655534407,0.16644295302013423
