"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
28159518,"Kepler-367","Kepler",16,1489.17454582611,1489.18544346894,0.011348717173488,4.44386750768067,0.107964254731533,0.648572160777031,"2022_08_01"
28230919,"HAT-P-11","Kepler",16,,,,,,-1,"2022_08_11"
28230919,"HAT-P-11","Kepler",10,930.87358918161,930.881081756932,0.001805143771547,0.512130273357112,0.023048551529725,0.912628060605513,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,936.704105532532,936.732032103893,0.001063986970992,1.79030702868863,0.059722203753462,0.105498767327703,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,936.791971828585,936.811043617876,0.000920418979015,1.20548458302132,0.055860488510377,0.123475413710552,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,946.022677560344,946.030851086078,0.000719422594617,0.358055249084661,0.019918879801068,0.011993995439353,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,948.792833626314,948.794876954489,0.000373835859563,0.061314798140972,0.01057119067173,0.578742774665746,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,979.979415338392,979.982139723492,0.000909980863635,0.148765432912624,0.012938861996197,0.959234231697282,"2022_08_01"
28230919,"HAT-P-11","TESS",41,,,,,,-1,"2022_08_11"
28230919,"HAT-P-11","Kepler",12,1110.35131175836,1110.36765809944,0.001279451591969,1.14242989381976,0.025953768906425,0.632140516339426,"2022_08_01"
28230919,"HAT-P-11","Kepler",12,1127.46882620265,1127.48517290742,0.001176618045078,0.730971489166541,0.028376116348767,0.13422855169168,"2022_08_01"
28230919,"HAT-P-11","Kepler",12,1153.46694143223,1153.4710280306,0.000491694433737,0.132200714225202,0.013681297674252,0.453206875534841,"2022_08_01"
28230919,"HAT-P-11","Kepler",12,1181.62470528249,1181.64377702626,0.001067942934516,0.698147307018802,0.026066007099737,0.214029698450888,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,935.875846405739,935.887425647648,0.001390423438457,0.801856225452254,0.042850369923563,0.936044470236157,"2022_08_01"
28230919,"HAT-P-11","Kepler",10,983.139792152208,983.156138829276,0.000920065676365,0.797233135481079,0.026428881845814,0.605818632889994,"2022_08_01"
48353358,"Kepler-1651","Kepler",15,1387.83799127896,1387.85161326289,0.014460904854221,5.37338582770521,0.125323662463355,0.477481423070397,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1450.3341881369,1450.35870786676,0.003350685719895,4.35547932762031,0.214162663832289,0.803878792429655,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1447.51987795818,1447.53077554968,0.006950703916583,3.47869242814981,0.104102276811412,0.518990344711036,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1446.74342294179,1446.7468285445,0.008432506112697,1.25661947870746,0.06988006852651,0.440390954346625,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1441.63789616488,1441.64606941872,0.017394748698124,4.0297780393755,0.080621054144785,0.923566046679553,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1440.58695957008,1440.6012626352,0.008019457567191,4.49114554972555,0.132594416181994,0.817181292998758,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1434.60350526449,1434.62257605737,0.015713399393238,9.28719734905177,0.151318475907102,0.211485082962572,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1431.83824616813,1431.84301381377,0.002284971131028,0.768072633846925,0.081106030531082,0.931562003601574,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1454.77497392724,1454.77769845734,0.00296694519171,0.469763817019517,0.064721561729882,0.253412955376765,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1422.40572497992,1422.41934702189,0.006891840674524,3.72854091673137,0.136255516041604,0.976721865614264,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1418.85107875808,1418.86674402769,0.012865384883179,4.50202440091008,0.137605876603472,0.616890297655414,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1409.13796814848,1409.14001147933,0.006370050830017,0.784129317600982,0.051630913171095,0.63364650846066,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1406.02194864165,1406.02671628135,0.005501230741958,1.43642269806882,0.089035562138519,0.318216472682806,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1401.80868010897,1401.81140451863,0.003875045905109,0.576777516369273,0.060838802012863,0.891713544477673,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1400.40766236473,1400.42400862539,0.00498906572638,4.52992690656376,0.171993655223372,0.749890594967879,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1400.14271530159,1400.14475863418,0.002144514389721,0.366007651121385,0.0579980432864,0.723070396498775,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1400.13522324851,1400.13930981381,0.007661436379782,1.54232157484479,0.070204704452733,0.72231198707077,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1419.56214429579,1419.56623075761,0.00286200957442,0.825695471440147,0.078790587424857,0.688870408020247,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1398.01632794974,1398.02450118291,0.005793591011488,1.90197308576542,0.10410880868977,0.507819356830055,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1457.99795407378,1458.00272175777,0.005445395963017,1.38789809806696,0.082656227756295,0.579670458163602,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1465.1481910815,1465.16249427981,0.056161335518173,13.3734776140804,0.079756190039352,0.303478351606626,"2022_08_02"
