tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Beat Period,Both Sectors,total,0.018497924391151,0.868032554881469,0.042081871075932,0.498116386135709,0.042081871075932,0.877127728503412,189,48.4490740740741,0.5
2021-11-10,Beat Period,Both Sectors,total,0.030695002749009,0.686426320076205,0.029884792718075,0.699648478951228,0.030695002749009,0.991896953607356,189,48.4490740740741,0.6
2021-11-10,Beat Period,Both Sectors,total,0.008114355493873,0.970259560449088,0.05246543997321,0.341336044482746,0.05246543997321,0.65582280443,189,48.4490740740741,0.7
2021-11-10,Beat Period,Both Sectors,total,0.030106713298282,0.696036099298506,0.030473082168801,0.690056947993639,0.030473082168801,0.992569301484843,189,48.4490740740741,0.8
2021-11-10,Beat Period,Both Sectors,total,0.048844098394961,0.393059319991509,0.011735697072123,0.941952293442302,0.048844098394961,0.739050995765755,189,48.4490740740741,0.9
2021-11-10,Beat Period,Sector 1,total,0.028875870454294,0.865960185520859,0.085599646291588,0.315143318811394,0.085599646291588,0.610991931180299,75,25.1305555555556,0
2021-11-10,Beat Period,Sector 1,total,0.016994215393685,0.946954247769588,0.097481301352198,0.225542077041287,0.097481301352198,0.44608022555334,75,25.1305555555556,0.1
2021-11-10,Beat Period,Sector 1,total,0.040263070631149,0.763887489983743,0.074212446114734,0.417211598066134,0.074212446114734,0.775191555202556,75,25.1305555555556,0.2
2021-11-10,Beat Period,Sector 1,total,0.076437124645371,0.396174705212717,0.038038392100512,0.785196694927202,0.076437124645371,0.744121428229099,75,25.1305555555556,0.3
2021-11-10,Beat Period,Sector 1,total,0.069682030875797,0.46143599232541,0.044793485870086,0.718897208442656,0.069682030875797,0.834750185966212,75,25.1305555555556,0.4
2021-11-10,Beat Period,Sector 1,total,0.052715817398033,0.637006324677764,0.06175969934785,0.542221275978188,0.06175969934785,0.920208455905888,75,25.1305555555556,0.5
2021-11-10,Beat Period,Sector 1,total,0.046513393021628,0.701382709340803,0.067962123724255,0.478651773093611,0.067962123724255,0.855620021895223,75,25.1305555555556,0.6
2021-11-10,Beat Period,Sector 1,total,0.015178512213994,0.956125807231638,0.099297004531889,0.213496710491685,0.099297004531889,0.422986024255429,75,25.1305555555556,0.7
2021-11-10,Beat Period,Sector 1,total,0.021936553553665,0.917173383635935,0.092538963192218,0.260562979173988,0.092538963192218,0.512159472636173,75,25.1305555555556,0.8
2021-11-10,Beat Period,Sector 1,total,0.064369772668657,0.515228324502496,0.050105744077226,0.664275132581634,0.064369772668657,0.895261237398244,75,25.1305555555556,0.9
2021-11-10,Beat Period,Sector 27,total,0.030490328027821,0.79302071979979,0.056081102733008,0.470685107301825,0.056081102733008,0.845905935553798,114,23.3185185185185,0
