TIC,number_of_flares,mean,std,moresectors,futuresectors,ID,KOI,KIC,st_rotp,st_rotp_err,st_rotp_source,note,age,age_uperr,age_lowerr,agesource,xray_flux_erg_s,xray_flux_err_erg_s,xraysource,multiple_star,magdiffGaiaG,dist_nearby_arcsec,no_nearby_in_ziegler2018,multiple_star_source,surface_field_G,surface_field_G_err,surface_field_source,st_rad_rsun,abs_tstart_min,abs_tstart_max,time_span_d,coherence_timescale_rotation_d,coherence_ratio_rotation,tstart_min,tstart_max,orbper,orbper_err,timespan_d,coherence_timescale_orbit_d,coherence_ratio_orbit,st_spectype_bibkey,a_au,st_rad,st_rad_err1,st_rad_err2,st_lum,st_lumerr1,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_lumerr2,st_rad_tess,pl_radj,pl_orbper_kepler,pl_orbpererr1_kepler,pl_orbpererr2_kepler,pl_orbpererr1_tess,pl_orbpererr2_tess,pl_orbper_tess,a_au_err,pl_radjerr1,pl_radjerr2,sy_dist,sy_snum,st_rad_err,orbper_d,orbper_d_err,a_rstar,a_rstar_err,Ro,Ro_high,Ro_low,B_G,B_G_high,B_G_low,obstime_d,orbits_covered,v_rel_km_s,v_rel_err_km_s,p_spi_sb_bp1_erg_s,p_spi_sb_bp1_erg_s_high,p_spi_sb_bp1_erg_s_low,p_spi_sb_bp0_erg_s,p_spi_sb_bp0_erg_s_high,p_spi_sb_bp0_erg_s_low,p_spi_aw_bp1_erg_s,p_spi_aw_bp1_erg_s_high,p_spi_aw_bp1_erg_s_low,p_spi_aw_bp0_erg_s,p_spi_aw_bp0_erg_s_high,p_spi_aw_bp0_erg_s_low,pl_orbper_bibkey,st_rad_bibkey,pl_orbsmax_bibkey,st_lum_bibkey,pl_radj_bibkey,pl_orbeccen_bibkey,st_spectype
218263393,9,0.67665,0.24191703123178412,1.0,66,GJ 674,,,33.29,,kiraga2007agerotationactivity,no error given,,,,,3.40979969476262e+27,,foster2022exoplanet,,,,,RV,,,,,2458629.99365086,2459387.82684618,757.833195311483,inf,0.0,1629.99365086394,2387.82684617521,4.6938,0.007,757.83319531127,3147.39406285714,0.240781160597133,bonfils2007harps,0.039,0.36,0.01,-0.01,-1.76002764701843,0.007695555686951,0.2,0.02,-0.02,-0.007431745529175,,0.296249974783854,4.6938,0.007,-0.007,,,,0.0078,0.110529100348126,-0.084494657699444,4.54896,1.0,0.01,4.6938,0.007,23.295150197642663,4.703752028858516,0.35677536589550984,0.3959454195189619,0.3183621997857442,729.1813503540991,943.7997123627,582.9027463243772,47.57662037037037,10.136056152876213,77.64725284020807,15.582245546690782,3.554405896644499e+24,2.9041688210355082e+25,4.890781433846443e+23,2.8795462326120206e+26,2.794313221509977e+27,3.4127854709539463e+25,2.8968801755529166e+22,1.4162899404592742e+23,5.760755087579332e+21,3.8731852055071645e+21,3.711970941213377e+22,4.35471200863391e+20,bonfils2007harps,stassun2019revised,bonfils2007harps,fouesneau2022gaia,chen2017probabilistic,bonfils2007harps,M2.5 V
233193964,9,0.43979999999999997,0.16534868208324696,3.0,"58,59,60",GJ 687,,,61.73,,burt2014lickcarnegie,"uncertainty is high, probably a few days",,,,,8.95809464381094e+26,,foster2022exoplanet,,,,,RV,,,,,2458738.70641133,2459789.5114682,1050.80505686859,inf,0.0,1738.70641133059,2789.51146819897,38.142,0.007,1050.80505686838,207830.309142857,0.005056072240869,burt2014lickcarnegie,0.163,0.42,0.01,-0.01,-1.672,0.005,0.17,0.05,-0.05,-0.005,,0.369631896841139,38.142,0.007,-0.007,,,,0.02771,0.150061209418936,-0.108015985073306,4.54939,1.0,0.01,38.142,0.007,83.4529556530935,14.325470638504807,0.7321349942016037,0.8099978212137974,0.6551393341305907,294.7597692346489,353.70343577964127,254.10418022478348,437.93425925925925,11.481680542689404,17.765217243003242,4.168107675939678,3.1606988193825906e+21,2.1607899153380474e+22,5.041553661154178e+20,1.3998943244081996e+23,1.0807006099467739e+24,2.0225794971458427e+22,1.360087224219366e+20,6.626164186127418e+20,2.6443581829390488e+19,7.746529547761088e+17,6.484335434231242e+18,9.497016189563808e+16,feng2020search,burt2014lickcarnegie,feng2020search,burt2014lickcarnegie,chen2017probabilistic,feng2020search,M3 V
236387002,14,0.2504,0.009581927433107254,0.0,,StM 274,,,13.2,0.2,canas2022eccentric,,,,,,,,,,,,,BD,,,,,2458961.06433663,2459719.90640681,758.84207017906,871.2,0.871030842721603,1961.06433662718,2719.90640680651,7.2008603,2.3e-06,758.84207017933,22544516.9826592,3.36597173833007e-05,,0.064,,,,,,,,,,0.5,,,,,2.3e-06,-2.3e-06,7.2008603,0.016,,,,,,7.2008603,2.3e-06,,,,,,,,,124.98125000000002,17.35643309175155,43.944261515732,11.015096357645083,,,,,,,,,,,,,,,,fouesneau2022gaia,,,
26417717,13,0.58845,0.01745880866496908,0.0,,Kepler-808,1300.0,10975146,39.15,4.37,mazeh2015photometric,,,,,,,,,contaminated,1.79,0.78,0.0,"baranec2016roboao,ziegler2018measuring, kraus2016impact",,,,,2455663.11999686,2455927.04223448,263.922237626277,350.737414187643,0.752478141625004,830.11999685676,1094.04223448311,0.63133235,3.5e-07,263.92223762635,1138801.53187578,0.000231754375314,"martinez2019spectroscopic, pecaut2013intrinsic",0.0116,0.71,0.02,-0.04,-0.684,0.037,,,,-0.04,,0.13,0.63133235,3.5e-07,-3.5e-07,,,,0.0029,0.005,-0.007,321.0,1.0,0.03,0.63133235,3.5e-07,3.513201416589229,0.8907566832747659,1.4481937036483252,1.679901335103928,1.228639479405468,124.79911085165529,156.71865493174505,98.2804512983643,283.80902777777777,449.539814929138,196.66676489291604,49.16800774519985,1.9844300343110213e+26,1.1829600599829724e+27,3.3762924035303293e+25,4.955758321573744e+27,3.4386175780903038e+28,7.190373988575125e+26,8.735623895950628e+23,2.9845280738367345e+24,2.3150674682944508e+23,1.5829743731538457e+24,1.1830458884318112e+25,2.0388890396700763e+23,morton2016false,morton2016false,thompson2018planetary,collaboration2018gaia,morton2016false,thompson2018planetary,K2 V
272942100,3,0.49665000000000004,0.021234170574807015,,,Kepler-249,899.0,,36.422,0.336,mcquillan2013stellar,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2456259.68915742,2456331.54733952,71.8581821001135,3948.10144047619,0.018200692961791,1426.68915741635,1498.54733951689,3.306539,1e-05,71.8581821005398,1093320.0158521,6.57247476115543e-05,muirhead2014characterizing,0.035,0.48,0.02,-0.02,-1.495,0.075,,,,-0.09,,0.097,3.306539,1e-05,-1e-05,,,,0.00875,0.004,-0.004,190.401,1.0,0.02,3.306539,1e-05,15.6794280176441,3.9739265517597335,0.5296130509037661,0.5827023398203757,0.4730789599391034,443.2667355452885,550.7358339914375,372.33583169168054,727.6875000000001,220.075281132326,104.70151069582826,26.175555347922845,1.167752633983118e+24,7.245496213088886e+24,2.3557787479148474e+23,6.788819832391405e+25,4.868147074714744e+26,1.2192452002111453e+25,1.0559050257566142e+22,3.7094234479318446e+22,3.027872428602698e+21,2.2362460202002843e+21,1.7514118057775885e+22,3.3555103835298634e+20,rowe2014validation,rowe2014validation,rowe2014validation,mann2013spectrothermometry,rowe2014validation,thompson2018planetary,M2 V
273379660,3,0.76815,0.029149442533262966,,,Kepler-862,1491.0,,26.656,0.347,mcquillan2013stellar,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2459434.11990532,2459442.01433987,7.89443454891443,2047.67243804035,0.003855320998738,2434.1199053248,2442.01433987368,3.14866453,7.03e-06,7.89443454887987,1410254.38442107,5.59787981238623e-06,"berger2018revised, pecaut2013intrinsic",0.039,0.84,0.07,-0.05,-0.193608403205872,0.031176656484604,,,,-0.028530612587929,,0.197,3.14866453,7.03e-06,-7.03e-06,,,,0.00975,0.039,-0.015,1039.03,1.0,0.060000000000000005,3.14866453,7.03e-06,9.983635798989711,2.5957844896857147,1.734146032700528,1.8209206944536938,1.656264607638997,99.45007990154485,110.83134389389893,88.07593725661376,25.447222222222223,8.081909641298694,118.83330571633827,29.70904899716376,4.050114511233641e+24,3.3334383410223534e+25,7.586589844555516e+23,8.693688198406235e+25,7.691319029493792e+26,1.501820820738127e+25,8.40841113960492e+22,4.078657621062844e+23,2.194485475682974e+22,1.6217539508635892e+22,1.7642560030505307e+23,2.2096021252911328e+21,morton2016false,morton2016false,thompson2018planetary,fouesneau2022gaia,morton2016false,thompson2018planetary,K0 V
27769688,3,0.2248,0.015584607791022519,0.0,,Kepler-396,2672.0,11253827,13.311,0.048,angus2018inferring,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2455941.20792596,2456365.27124037,424.06331440853,3691.3066875,0.114881626022717,1108.20792596138,1532.27124037,42.9929214,2.072e-05,424.06331440862,89208073.8661476,4.75364275934157e-06,"martinez2019spectroscopic, pecaut2013intrinsic",0.2336,1.06,0.39,-0.2,-0.135,0.012,,,,-0.015,0.939951,0.312,42.9929214,2.072e-05,-2.072e-05,0.0109785,-0.0109785,88.495683,0.0584,0.114,-0.058,223.757,1.0,0.29500000000000004,42.9929214,2.072e-05,47.38821845720748,17.72800410688971,0.9264149865614779,0.9426898660202335,0.9072702246861969,219.11800022880993,227.15966590663504,213.10087053746705,546.3284722222222,12.70740518280347,-131.81011741340365,32.959720569751475,9.394073845703276e+22,2.1873441103759434e+24,8.895651452310721e+21,3.4143340324822957e+24,8.143377954566307e+25,3.173714874983223e+23,1.4986704585124693e+22,1.469919534183293e+23,2.331620872397435e+21,2.1723467448067526e+20,7.260286404221095e+21,1.3976041877795967e+19,battley2021revisiting,xie2014transit,thompson2018planetary,stassun2019revised,xie2014transit,thompson2018planetary,G5 V
278892590,39,0.54555,0.046460987218669134,,,TRAPPIST-1,,EPIC 200164267,3.3,0.14,luger2017sevenplanet,,,,,,,,,,,,,VLM,,,,,2457739.1132,2457814.972,75.8588000000455,77.7857142857143,0.975227915519409,2906.1132,2981.972,1.510826,6e-06,75.8588000000004,380432.533712667,0.000199401453024,gillon2016temperate,0.01154,0.1192,0.0013,-0.0013,-3.257,0.015,0.00622,0.00304,-0.00304,-0.015,,0.1,1.510826,6e-06,-6e-06,,,,0.0001,0.001,-0.001,12.4298888,1.0,0.0013,1.510826,6e-06,20.817710372803017,0.28998166378859347,0.006311154738360587,0.006693500977263848,0.005939938810532419,3578.836763133229,4132.01980735152,3089.23753768659,73.08,48.37089115490467,45.05277385921345,1.6605240474309955,2.9879707371587636e+24,4.1191260347203175e+24,2.1539659388111782e+24,6.990972597530109e+26,1.0606693279373585e+27,4.5688443930336646e+26,2.364677866154451e+21,2.8290505537734333e+21,1.9683736172749846e+21,1.14334961400361e+21,1.5654622267130084e+21,8.296628243653895e+20,agol2021refining,agol2021refining,agol2021refining,agol2021refining,agol2021refining,,M8 V
28159518,5,0.86985,0.02173867521262508,0.0,,Kepler-367,2173.0,,15.4103,0.0645,angus2018inferring,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2456152.80071333,2456388.47999161,235.679278280586,3681.8193192248,0.064011636054484,1319.80071332784,1555.47999160844,37.815724,0.000279,235.6792782806,5125551.90553468,4.5981248970693e-05,"martinez2019spectroscopic, pecaut2013intrinsic",0.201,0.69,0.04,-0.04,-0.617,0.02,,,,-0.024,,0.116,37.815724,0.000279,-0.000279,,,,0.05025,0.014,-0.014,188.027,1.0,0.04,37.815724,0.000279,62.6398018692465,16.075457582543617,0.6157522138930711,0.6327321955107702,0.5964642550448084,366.60766347457843,401.84471600104007,338.4059214186005,438.3256944444445,11.59109619174406,-84.07313638072947,21.026673604301713,5.777974197874877e+21,3.725033652366148e+22,1.0424144923795951e+21,2.959670003195358e+23,2.0284721149236435e+24,5.062119692838248e+22,5.7263485968773245e+20,2.3059424178062767e+21,1.3768598762706834e+20,6.695090501439858e+18,5.7032615443955106e+19,8.667646598752236e+17,rowe2014validation,rowe2014validation,rowe2014validation,stassun2019revised,rowe2014validation,thompson2018planetary,K3 V
28230919,3,0.5338499999999999,0.008185149153599244,3.0,"54,55,56",HAT-P-11,,,28.16,2.66,angus2018inferring,upper error given,,,,,3.10420755310111e+27,,foster2022exoplanet,,,,,,,,,,2455763.87358918,2456014.62470528,250.751116100699,298.114887218045,0.841122422434731,930.87358918161,1181.62470528249,4.88780244,7.1e-06,250.75111610088,3364875.02710844,7.45201869551629e-05,bakos2010hatp11b,0.05254,0.68,0.01,-0.01,-0.567,0.013,0.218,0.034,-0.031,-0.016,0.759854,0.389,4.88780244,7.1e-06,-7.1e-06,2e-06,-2e-06,4.8878006,0.01145372,0.005,-0.005,37.7647,1.0,0.01,4.88780244,7.1e-06,16.614396263133195,3.6301700376106036,1.1918662965733011,1.3241205414399237,1.0595832126384932,159.51678103866422,186.07858563871866,135.84124247652238,1043.6534722222223,213.5220244749136,96.64351274956081,21.15535010889779,3.5709671524698997e+24,1.4564129209233298e+25,9.90642668079884e+23,1.050324364966304e+26,4.746958709910857e+26,2.6178100242728554e+25,9.165549144172355e+22,2.476007959414567e+23,3.3799711355757786e+22,8.746588076401033e+21,4.408515944494892e+22,1.8963298890834085e+21,bakos2010hatp11b,yee2018hatp11,yee2018hatp11,stassun2019revised,yee2018hatp11,yee2018hatp11,K4 V
